id,title,description,availability,condition,price,sale_price,link,image_link,additional_image_link,brand,item_group_id,google_product_category,product_type,color,size,gender,age_group,material,pattern,custom_label_0,custom_label_1,custom_label_2,custom_label_3,custom_label_4
27,Blouse met ruches in luipaardprint (S),Elegante blouse met subtiele ruches en een moderne luipaardprint. Verfijnd maar opvallend — een feestelijke keuze die je ook naar kantoor draagt.,in stock,new,39.95 EUR,25.00 EUR,https://www.lou-marie.be/nl/shop/blouse-met-ruches-in-luipaardprint-15?attribute_values=1,https://www.lou-marie.be/web/image/product.product/27/image_1920?unique=5ace8b7,"https://www.lou-marie.be/web/image/product.image/219/image_1920?unique=3bfe5cb,https://www.lou-marie.be/web/image/product.image/220/image_1920?unique=3bfe5cb",Lou-Marie,15,Apparel & Accessories > Clothing > Shirts & Tops,Blouses en tops,,S,female,adult,,luipaardprint,,25 tot 40,Blouses en tops,aanbieding,
28,Blouse met ruches in luipaardprint (M),Elegante blouse met subtiele ruches en een moderne luipaardprint. Verfijnd maar opvallend — een feestelijke keuze die je ook naar kantoor draagt.,in stock,new,39.95 EUR,25.00 EUR,https://www.lou-marie.be/nl/shop/blouse-met-ruches-in-luipaardprint-15?attribute_values=2,https://www.lou-marie.be/web/image/product.product/28/image_1920?unique=5ace8b7,"https://www.lou-marie.be/web/image/product.image/219/image_1920?unique=3bfe5cb,https://www.lou-marie.be/web/image/product.image/220/image_1920?unique=3bfe5cb",Lou-Marie,15,Apparel & Accessories > Clothing > Shirts & Tops,Blouses en tops,,M,female,adult,,luipaardprint,,25 tot 40,Blouses en tops,aanbieding,
251,Bruine pantalon met gouden knopen,"Donkerbruine pantalon met gouden sierknopen die zorgen voor een elegante touch. De perfecte mix van stijl en comfort, van dag naar avond.",in stock,new,49.95 EUR,25.00 EUR,https://www.lou-marie.be/nl/shop/bruine-pantalon-met-gouden-knopen-123?attribute_values=14,https://www.lou-marie.be/web/image/product.product/251/image_1920?unique=3981467,"https://www.lou-marie.be/web/image/product.image/128/image_1920?unique=3e2cf7e,https://www.lou-marie.be/web/image/product.image/129/image_1920?unique=3e2cf7e,https://www.lou-marie.be/web/image/product.image/146/image_1920?unique=9ab2ce7",Lou-Marie,,Apparel & Accessories > Clothing > Pants,"Broeken, shorts en rokken",bruin,44,female,adult,,,Laatste stuk,25 tot 40,"Broeken, shorts en rokken",aanbieding,
295,Donkerblauwe blazer tweed met gouden knopen (38),"Donkerblauwe blazer in hoogwaardige tweedstof, subtiel verweven met glanzend gouddraad. Chic en feestelijk — mooi over een effen top met een pantalon.",in stock,new,70.00 EUR,49.00 EUR,https://www.lou-marie.be/nl/shop/donkerblauwe-blazer-tweed-met-gouden-knopen-9?attribute_values=11,https://www.lou-marie.be/web/image/product.product/295/image_1920?unique=637c9b0,,Lou-Marie,9,Apparel & Accessories > Clothing > Outerwear > Coats & Jackets,Jassen en blazers,donkerblauw,38,female,adult,tweed,,,40 tot 55,Jassen en blazers,aanbieding,
296,Donkerblauwe blazer tweed met gouden knopen (40),"Donkerblauwe blazer in hoogwaardige tweedstof, subtiel verweven met glanzend gouddraad. Chic en feestelijk — mooi over een effen top met een pantalon.",in stock,new,70.00 EUR,49.00 EUR,https://www.lou-marie.be/nl/shop/donkerblauwe-blazer-tweed-met-gouden-knopen-9?attribute_values=12,https://www.lou-marie.be/web/image/product.product/296/image_1920?unique=637c9b0,,Lou-Marie,9,Apparel & Accessories > Clothing > Outerwear > Coats & Jackets,Jassen en blazers,donkerblauw,40,female,adult,tweed,,,40 tot 55,Jassen en blazers,aanbieding,
96,Donkerblauwe blouse met bolletjesprint en striklinten (S),"Deze top heeft een elegante ronde hals, lange mouwen met elastische boorden en een verfijnde dubbele knoopsluiting aan de voorkant.",in stock,new,38.95 EUR,15.00 EUR,https://www.lou-marie.be/nl/shop/donkerblauwe-blouse-met-bolletjesprint-en-striklinten-35?attribute_values=1,https://www.lou-marie.be/web/image/product.product/96/image_1920?unique=1209ec6,https://www.lou-marie.be/web/image/product.image/156/image_1920?unique=c78c2c0,Lou-Marie,35,Apparel & Accessories > Clothing > Shirts & Tops,Blouses en tops,donkerblauw,S,female,adult,,stippen,,tot 25,Blouses en tops,aanbieding,
97,Donkerblauwe blouse met bolletjesprint en striklinten (M),"Deze top heeft een elegante ronde hals, lange mouwen met elastische boorden en een verfijnde dubbele knoopsluiting aan de voorkant.",in stock,new,38.95 EUR,15.00 EUR,https://www.lou-marie.be/nl/shop/donkerblauwe-blouse-met-bolletjesprint-en-striklinten-35?attribute_values=2,https://www.lou-marie.be/web/image/product.product/97/image_1920?unique=1209ec6,https://www.lou-marie.be/web/image/product.image/156/image_1920?unique=c78c2c0,Lou-Marie,35,Apparel & Accessories > Clothing > Shirts & Tops,Blouses en tops,donkerblauw,M,female,adult,,stippen,,tot 25,Blouses en tops,aanbieding,
98,Donkerblauwe blouse met bolletjesprint en striklinten (L),"Deze top heeft een elegante ronde hals, lange mouwen met elastische boorden en een verfijnde dubbele knoopsluiting aan de voorkant.",in stock,new,38.95 EUR,15.00 EUR,https://www.lou-marie.be/nl/shop/donkerblauwe-blouse-met-bolletjesprint-en-striklinten-35?attribute_values=3,https://www.lou-marie.be/web/image/product.product/98/image_1920?unique=1209ec6,https://www.lou-marie.be/web/image/product.image/156/image_1920?unique=c78c2c0,Lou-Marie,35,Apparel & Accessories > Clothing > Shirts & Tops,Blouses en tops,donkerblauw,L,female,adult,,stippen,,tot 25,Blouses en tops,aanbieding,
254,Donkerblauwe jeans met gouden knopen wide fit,"Donkerblauwe wide fit jeans met sierknopen aan de zijkanten. De perfecte mix van comfort en stijl, met een subtiele speelse twist.",in stock,new,54.95 EUR,25.00 EUR,https://www.lou-marie.be/nl/shop/donkerblauwe-jeans-met-gouden-knopen-wide-fit-124?attribute_values=11,https://www.lou-marie.be/web/image/product.product/254/image_1920?unique=64c80d3,"https://www.lou-marie.be/web/image/product.image/158/image_1920?unique=46cb8db,https://www.lou-marie.be/web/image/product.image/159/image_1920?unique=46cb8db,https://www.lou-marie.be/web/image/product.image/160/image_1920?unique=46cb8db,https://www.lou-marie.be/web/image/product.image/161/image_1920?unique=0ec9b41",Lou-Marie,,Apparel & Accessories > Clothing > Pants,"Broeken, shorts en rokken",donkerblauw,38,female,adult,,,Laatste stuk,25 tot 40,"Broeken, shorts en rokken",aanbieding,
273,Donkerblauwe jeansrok met split,Trendy denim midi-rok met een subtiele split voor een stijlvolle look. Gemaakt van stretchstof die heerlijk zit en perfect aansluit op je figuur.,in stock,new,39.00 EUR,15.00 EUR,https://www.lou-marie.be/nl/shop/donkerblauwe-jeansrok-met-split-36?attribute_values=10,https://www.lou-marie.be/web/image/product.product/273/image_1920?unique=dc476d1,,Lou-Marie,,Apparel & Accessories > Clothing > Skirts,"Broeken, shorts en rokken",donkerblauw,36,female,adult,denim,,Laatste stuk,tot 25,"Broeken, shorts en rokken",aanbieding,
122,"Flared jeans, blauw (42)","Deze stijlvolle jeans combineert elegantie met een vleugje glamour. De voorzakken zijn verfijnd afgewerkt en de sierknopen geven een luxueuze touch. Dankzij de flatterende flare-pasvorm creëert deze broek een slanke, vrouwelijke silhouet.",in stock,new,39.00 EUR,35.00 EUR,https://www.lou-marie.be/nl/shop/flared-jeans-blauw-55?attribute_values=13,https://www.lou-marie.be/web/image/product.product/122/image_1920?unique=252870a,"https://www.lou-marie.be/web/image/product.image/49/image_1920?unique=08e4215,https://www.lou-marie.be/web/image/product.image/153/image_1920?unique=aa6042f",Lou-Marie,55,Apparel & Accessories > Clothing > Pants,"Broeken, shorts en rokken",blauw,42,female,adult,,,ads,25 tot 40,"Broeken, shorts en rokken",aanbieding,
123,"Flared jeans, blauw (44)","Deze stijlvolle jeans combineert elegantie met een vleugje glamour. De voorzakken zijn verfijnd afgewerkt en de sierknopen geven een luxueuze touch. Dankzij de flatterende flare-pasvorm creëert deze broek een slanke, vrouwelijke silhouet.",in stock,new,39.00 EUR,35.00 EUR,https://www.lou-marie.be/nl/shop/flared-jeans-blauw-55?attribute_values=14,https://www.lou-marie.be/web/image/product.product/123/image_1920?unique=252870a,"https://www.lou-marie.be/web/image/product.image/49/image_1920?unique=08e4215,https://www.lou-marie.be/web/image/product.image/153/image_1920?unique=aa6042f",Lou-Marie,55,Apparel & Accessories > Clothing > Pants,"Broeken, shorts en rokken",blauw,44,female,adult,,,ads,25 tot 40,"Broeken, shorts en rokken",aanbieding,
355,"Gebreid gilet met knopen, beige","Beige gebreid gilet met opstaande kraag, grote overtrokken knopen en korte wijde mouwen met knoopdetail. Valt soepel in een mooie A-lijn en past bij zowat alles in je kast.",in stock,new,54.95 EUR,,https://www.lou-marie.be/nl/shop/gebreid-gilet-met-knopen-beige-186?attribute_values=9,https://www.lou-marie.be/web/image/product.product/355/image_1920?unique=627dbec,https://www.lou-marie.be/web/image/product.image/276/image_1920?unique=74d79f0,Lou-Marie,,Apparel & Accessories > Clothing > Shirts & Tops,Truien en vesten,beige,one size,female,adult,gebreid,,ads,40 tot 55,Truien en vesten,,nieuw
356,"Gebreid gilet met knopen, taupe","Gebreid gilet in warme taupe met opstaande kraag, grote overtrokken knopen en korte wijde mouwen met knoopdetail. Een mooie A-lijn en een kleur die het hele jaar door werkt.",in stock,new,54.95 EUR,,https://www.lou-marie.be/nl/shop/gebreid-gilet-met-knopen-taupe-187?attribute_values=9,https://www.lou-marie.be/web/image/product.product/356/image_1920?unique=6dc2f98,,Lou-Marie,,Apparel & Accessories > Clothing > Shirts & Tops,Truien en vesten,taupe,one size,female,adult,gebreid,,ads,40 tot 55,Truien en vesten,,nieuw
300,"Gebreide top met kant, gebroken wit",Fijn gebreide top in gebroken wit met een sierlijk kanten randje langs hals en mouwen en kleine knoopjes aan de voorkant. Licht om te dragen en makkelijk te combineren.,in stock,new,44.95 EUR,36.00 EUR,https://www.lou-marie.be/nl/shop/gebreide-top-met-kant-gebroken-wit-155?attribute_values=9,https://www.lou-marie.be/web/image/product.product/300/image_1920?unique=80cce61,"https://www.lou-marie.be/web/image/product.image/232/image_1920?unique=8453556,https://www.lou-marie.be/web/image/product.image/233/image_1920?unique=8453556",Lou-Marie,,Apparel & Accessories > Clothing > Shirts & Tops,Blouses en tops,gebroken wit,one size,female,adult,gebreid,,ads,25 tot 40,Blouses en tops,aanbieding,
299,Geel gebreid vest met detailknopen,"Geel oversized gebreid vest met gouden sierknopen in zeethema. Een zomerse kleur die meteen doet denken aan zon, zee en strand.",in stock,new,44.95 EUR,30.00 EUR,https://www.lou-marie.be/nl/shop/geel-gebreid-vest-met-detailknopen-154?attribute_values=9,https://www.lou-marie.be/web/image/product.product/299/image_1920?unique=8b1a4b0,"https://www.lou-marie.be/web/image/product.image/228/image_1920?unique=f15de54,https://www.lou-marie.be/web/image/product.image/227/image_1920?unique=f15de54,https://www.lou-marie.be/web/image/product.image/226/image_1920?unique=f15de54",Lou-Marie,,Apparel & Accessories > Clothing > Shirts & Tops,Truien en vesten,geel,one size,female,adult,gebreid,,,25 tot 40,Truien en vesten,aanbieding,
192,Geel t-shirt 'Essential soul',Geel t-shirt met zilverkleurige print 'Essential Soul'. Een levendige statement piece die je outfit meteen een boost geeft.,in stock,new,34.95 EUR,20.00 EUR,https://www.lou-marie.be/nl/shop/geel-t-shirt-essential-soul-90?attribute_values=9,https://www.lou-marie.be/web/image/product.product/192/image_1920?unique=3847340,https://www.lou-marie.be/web/image/product.image/112/image_1920?unique=75c2d74,Lou-Marie,,Apparel & Accessories > Clothing > Shirts & Tops,T-shirts,geel,one size,female,adult,,,,tot 25,T-shirts,aanbieding,
291,Geruite sjaal met print,"Geruite sjaal in ecru, beige, camel en zwart. Een warme, tijdloze combinatie die moeiteloos bij je jas of trui past.",in stock,new,14.95 EUR,12.00 EUR,https://www.lou-marie.be/nl/shop/geruite-sjaal-met-print-149?attribute_values=9,https://www.lou-marie.be/web/image/product.product/291/image_1920?unique=39d9b31,https://www.lou-marie.be/web/image/product.image/205/image_1920?unique=f59ad92,Lou-Marie,,Apparel & Accessories > Clothing Accessories > Scarves & Shawls,Sjaals,ecru,one size,female,adult,,geruit,,tot 25,Sjaals,aanbieding,
323,"Geruite zomerblouse met ballonmouwen, lichtblauw (S/M)","Lichtblauw-wit geruite zomerblouse in luchtige stof met elegante ballonmouwen. De fijne ruitjesprint is tijdloos en vrolijk tegelijk, een frisse must-have voor zonnige dagen.",in stock,new,39.95 EUR,32.00 EUR,https://www.lou-marie.be/nl/shop/geruite-zomerblouse-met-ballonmouwen-lichtblauw-171?attribute_values=15,https://www.lou-marie.be/web/image/product.product/323/image_1920?unique=3cc2388,https://www.lou-marie.be/web/image/product.image/253/image_1920?unique=3b447e5,Lou-Marie,171,Apparel & Accessories > Clothing > Shirts & Tops,Blouses en tops,lichtblauw,S/M,female,adult,,geruit,ads,25 tot 40,Blouses en tops,aanbieding,
324,"Geruite zomerblouse met ballonmouwen, lichtblauw (M/L)","Lichtblauw-wit geruite zomerblouse in luchtige stof met elegante ballonmouwen. De fijne ruitjesprint is tijdloos en vrolijk tegelijk, een frisse must-have voor zonnige dagen.",in stock,new,39.95 EUR,32.00 EUR,https://www.lou-marie.be/nl/shop/geruite-zomerblouse-met-ballonmouwen-lichtblauw-171?attribute_values=16,https://www.lou-marie.be/web/image/product.product/324/image_1920?unique=3cc2388,https://www.lou-marie.be/web/image/product.image/253/image_1920?unique=3b447e5,Lou-Marie,171,Apparel & Accessories > Clothing > Shirts & Tops,Blouses en tops,lichtblauw,M/L,female,adult,,geruit,ads,25 tot 40,Blouses en tops,aanbieding,
155,Gestreepte cardigan zwart-wit (S),Zwart-wit gestreepte cardigan met klassieke strepen die je look meteen optillen. Tijdloos en makkelijk te combineren met jeans of een pantalon.,in stock,new,44.95 EUR,25.00 EUR,https://www.lou-marie.be/nl/shop/gestreepte-cardigan-zwart-wit-68?attribute_values=1,https://www.lou-marie.be/web/image/product.product/155/image_1920?unique=2809605,https://www.lou-marie.be/web/image/product.image/207/image_1920?unique=6388471,Lou-Marie,68,Apparel & Accessories > Clothing > Shirts & Tops,Truien en vesten,zwart,S,female,adult,,gestreept,,25 tot 40,Truien en vesten,aanbieding,
156,Gestreepte cardigan zwart-wit (M),Zwart-wit gestreepte cardigan met klassieke strepen die je look meteen optillen. Tijdloos en makkelijk te combineren met jeans of een pantalon.,in stock,new,44.95 EUR,25.00 EUR,https://www.lou-marie.be/nl/shop/gestreepte-cardigan-zwart-wit-68?attribute_values=2,https://www.lou-marie.be/web/image/product.product/156/image_1920?unique=2809605,https://www.lou-marie.be/web/image/product.image/207/image_1920?unique=6388471,Lou-Marie,68,Apparel & Accessories > Clothing > Shirts & Tops,Truien en vesten,zwart,M,female,adult,,gestreept,,25 tot 40,Truien en vesten,aanbieding,
76,Gilet luipaardprint,"Prachtige leopard print cardigan. Dit zachte, pluizige vest combineert comfort met een gedurfde uitstraling dankzij de opvallende luipaardprint in roze en bruintinten.",in stock,new,44.95 EUR,25.00 EUR,https://www.lou-marie.be/nl/shop/gilet-luipaardprint-38?attribute_values=9,https://www.lou-marie.be/web/image/product.product/76/image_1920?unique=1d4f1d6,https://www.lou-marie.be/web/image/product.image/150/image_1920?unique=c4684c0,Lou-Marie,,Apparel & Accessories > Clothing > Shirts & Tops,Truien en vesten,roze,one size,female,adult,,luipaardprint,,25 tot 40,Truien en vesten,aanbieding,
58,Gouden blazer tweed met gouden knopen,"Gouden tweed blazer met goudkleurige draden en subtiele witte pailletten. Klassieke snit met een moderne, feestelijke touch.",in stock,new,99.95 EUR,50.00 EUR,https://www.lou-marie.be/nl/shop/gouden-blazer-tweed-met-gouden-knopen-6?attribute_values=2,https://www.lou-marie.be/web/image/product.product/58/image_1920?unique=66fa671,,Lou-Marie,,Apparel & Accessories > Clothing > Outerwear > Coats & Jackets,Jassen en blazers,goud,M,female,adult,tweed,,Laatste stuk,40 tot 55,Jassen en blazers,aanbieding,
36,Grijze jurk gebreid gouden knopen,"Grijze ribgebreide wikkeljurk met decoratieve gouden knopen en een subtiele zijsplit. Elegant en verfijnd, van kantoor naar avond.",in stock,new,39.95 EUR,15.00 EUR,https://www.lou-marie.be/nl/shop/grijze-jurk-gebreid-gouden-knopen-22?attribute_values=9,https://www.lou-marie.be/web/image/product.product/36/image_1920?unique=7040588,,Lou-Marie,,Apparel & Accessories > Clothing > Dresses,Jurken,grijs,one size,female,adult,gebreid,,,tot 25,Jurken,aanbieding,
165,Groen zomershort,"Groene zomershort in een lichte, rekbare stof met elastische taille. Ademend en comfortabel — ideaal voor voorjaar en zomer.",in stock,new,29.95 EUR,15.00 EUR,https://www.lou-marie.be/nl/shop/groen-zomershort-71?attribute_values=1,https://www.lou-marie.be/web/image/product.product/165/image_1920?unique=66d5c65,"https://www.lou-marie.be/web/image/product.image/68/image_1920?unique=ced0e25,https://www.lou-marie.be/web/image/product.image/69/image_1920?unique=ced0e25,https://www.lou-marie.be/web/image/product.image/70/image_1920?unique=ced0e25",Lou-Marie,,Apparel & Accessories > Clothing > Shorts,"Broeken, shorts en rokken",groen,S,female,adult,,,,tot 25,"Broeken, shorts en rokken",aanbieding,
275,Groene blazer,"Donkergroene casual blazer met opgetrokken mouwen. Overdag nonchalant over je favoriete top, 's avonds net iets chiquer.",in stock,new,39.95 EUR,25.00 EUR,https://www.lou-marie.be/nl/shop/groene-blazer-134?attribute_values=2,https://www.lou-marie.be/web/image/product.product/275/image_1920?unique=062e7db,https://www.lou-marie.be/web/image/product.image/139/image_1920?unique=66e3463,Lou-Marie,,Apparel & Accessories > Clothing > Outerwear > Coats & Jackets,Jassen en blazers,groen,M,female,adult,,,Laatste stuk,25 tot 40,Jassen en blazers,aanbieding,
24,Groene blouse glitter (S),"Maak een statement met dit elegante glinsterende blouse! De subtiele textuur en sprankelende details geven een verfijnde uitstraling. De ballonmouwen voegen een speelse touch toe, terwijl de klassieke kraag het geheel een tijdloze look geeft. Perfect te combineren met een rok of broek voor een stijlvolle outfit, dag én nacht.",in stock,new,39.95 EUR,15.00 EUR,https://www.lou-marie.be/nl/shop/groene-blouse-glitter-13?attribute_values=1,https://www.lou-marie.be/web/image/product.product/24/image_1920?unique=ccf0c08,https://www.lou-marie.be/web/image/product.image/157/image_1920?unique=8fd82bd,Lou-Marie,13,Apparel & Accessories > Clothing > Shirts & Tops,Blouses en tops,groen,S,female,adult,,,,tot 25,Blouses en tops,aanbieding,
25,Groene blouse glitter (M),"Maak een statement met dit elegante glinsterende blouse! De subtiele textuur en sprankelende details geven een verfijnde uitstraling. De ballonmouwen voegen een speelse touch toe, terwijl de klassieke kraag het geheel een tijdloze look geeft. Perfect te combineren met een rok of broek voor een stijlvolle outfit, dag én nacht.",in stock,new,39.95 EUR,15.00 EUR,https://www.lou-marie.be/nl/shop/groene-blouse-glitter-13?attribute_values=2,https://www.lou-marie.be/web/image/product.product/25/image_1920?unique=ccf0c08,https://www.lou-marie.be/web/image/product.image/157/image_1920?unique=8fd82bd,Lou-Marie,13,Apparel & Accessories > Clothing > Shirts & Tops,Blouses en tops,groen,M,female,adult,,,,tot 25,Blouses en tops,aanbieding,
26,Groene blouse glitter (L),"Maak een statement met dit elegante glinsterende blouse! De subtiele textuur en sprankelende details geven een verfijnde uitstraling. De ballonmouwen voegen een speelse touch toe, terwijl de klassieke kraag het geheel een tijdloze look geeft. Perfect te combineren met een rok of broek voor een stijlvolle outfit, dag én nacht.",in stock,new,39.95 EUR,15.00 EUR,https://www.lou-marie.be/nl/shop/groene-blouse-glitter-13?attribute_values=3,https://www.lou-marie.be/web/image/product.product/26/image_1920?unique=ccf0c08,https://www.lou-marie.be/web/image/product.image/157/image_1920?unique=8fd82bd,Lou-Marie,13,Apparel & Accessories > Clothing > Shirts & Tops,Blouses en tops,groen,L,female,adult,,,,tot 25,Blouses en tops,aanbieding,
